number,category,concept,question,choice1,choice2,choice3,choice4,answer,explanation,translation,hint
1,빈칸추론형,증언 신빙성 판단: 세부 기억보다 핵심 진술이 다른 증거와 일관되는지 판단하는 빈칸 추론.,"In a courtroom, a witness may remember the central event clearly but forget minor details. This does not always mean the testimony is false; memory often preserves meaning better than exact surroundings. Therefore, a judge should evaluate testimony by considering whether the main account remains ______ with other evidence.",consistent,convenient,temporary,decorative,1,중심 진술이 다른 증거와 일관되는지를 보아야 하므로 consistent가 적절하다.,법정에서 증인은 중심이 되는 사건은 분명히 기억하지만 사소한 세부사항은 잊을 수 있다. 이것이 항상 그 증언이 거짓이라는 뜻은 아니다. 기억은 정확한 주변 상황보다 의미를 더 잘 보존하는 경우가 많기 때문이다. 따라서 판사는 주요 진술이 다른 증거와 계속 일관되는지를 고려하여 증언을 평가해야 한다.,증인이 세부사항을 잊었다는 점보다 중심 진술이 다른 자료와 어떤 관계를 이루는지 보세요.
2,빈칸추론형,개인정보 보호와 효율성: 디지털 기록의 편리함과 무제한 저장 위험의 균형을 묻는 빈칸 추론.,Digital records are useful because they can be searched and copied quickly. Yet the same convenience may create risks when personal information is stored without limits. A public institution should therefore balance efficiency with ______.,faster entertainment,privacy protection,physical strength,random selection,2,개인정보 저장의 위험을 말하므로 효율성과 개인정보 보호의 균형이 핵심이다.,디지털 기록은 빠르게 검색하고 복사할 수 있기 때문에 유용하다. 그러나 같은 편리함도 개인정보가 제한 없이 저장될 때에는 위험을 만들 수 있다. 그러므로 공공기관은 효율성과 개인정보 보호 사이의 균형을 맞추어야 한다.,"앞문장은 편리함을 말하고, 뒤문장은 개인정보 저장 위험을 말합니다. balance A with B 구조를 확인하세요."
3,빈칸추론형,법 규칙의 실제 효과: 문언상 중립과 현실적 결과의 차이를 파악하는 빈칸 추론.,"A rule that looks neutral on paper may still harm a particular group if it is applied without considering real circumstances. For that reason, modern legal reasoning often asks not only what a rule says, but also what ______ it produces.",ancient decorations,musical rhythms,practical consequences,private hobbies,3,규칙의 문언뿐 아니라 실제 결과를 따진다는 내용이므로 practical consequences가 맞다.,문서상으로는 중립적으로 보이는 규칙도 실제 상황을 고려하지 않고 적용되면 특정 집단에 해를 끼칠 수 있다. 그래서 현대의 법적 추론은 규칙이 무엇을 말하는지만이 아니라 그 규칙이 어떤 실제적 결과를 만들어 내는지도 묻는 경우가 많다.,not only A but also B 구조에서 B에는 규칙이 실제로 만들어 내는 효과가 와야 합니다.
4,빈칸추론형,투명성의 한계: 공개 원칙과 수사·개인정보 보호 사이의 제한을 파악하는 빈칸 추론.,"Some citizens think transparency means publishing every document immediately. However, responsible transparency sometimes requires delay, because premature disclosure may damage an investigation or expose private data. In this sense, transparency is not the same as ______.",careful review,public trust,lawful access,unlimited disclosure,4,투명성이 무제한 공개와 같지 않다는 대조가 핵심이다.,일부 시민들은 투명성이 모든 문서를 즉시 공개하는 것을 의미한다고 생각한다. 그러나 책임 있는 투명성은 때로 지연을 필요로 한다. 너무 이른 공개가 수사를 해치거나 개인 정보를 노출할 수 있기 때문이다. 이런 의미에서 투명성은 무제한 공개와 같은 것이 아니다.,투명성이 필요하다는 말과 ‘즉시 모든 문서 공개’가 항상 같은지 비교해 보세요.
5,빈칸추론형,계약의 자유로운 동의: 협박·압박으로 형성된 의사표시의 하자를 묻는 법률 어휘 빈칸.,A contract signed under serious threat cannot be treated as a free agreement. The law protects genuine consent and refuses to reward pressure that destroys a party’s ability to choose. Such a contract may be challenged because the consent was obtained by ______.,coercion,nutrition,translation,celebration,1,serious threat와 pressure가 단서이므로 coercion이 적절하다.,"심각한 위협 아래 체결된 계약은 자유로운 합의로 취급될 수 없다. 법은 진정한 동의를 보호하고, 당사자가 선택할 능력을 파괴하는 압박에 보상을 주지 않는다. 그러한 계약은 동의가 강압에 의해 얻어진 것이기 때문에 다툴 수 있다.","serious threat, pressure, ability to choose가 모두 자유로운 동의를 방해하는 상황을 가리킵니다."
6,빈칸추론형,효과적 의사소통: 완전한 정보 제공보다 독자가 이해할 수 있는 표현이 중요한 이유를 묻는 빈칸.,"When people read a long legal notice, they often skip technical phrases and remember only the simple warning at the end. This shows that communication is effective not when it is merely complete, but when it is ______ to the intended reader.",expensive,understandable,invisible,aggressive,2,독자가 이해할 수 있어야 효과적이라는 내용이다.,"사람들이 긴 법적 고지를 읽을 때, 그들은 종종 전문적인 표현을 건너뛰고 끝부분의 간단한 경고만 기억한다. 이것은 의사소통이 단지 완전할 때 효과적인 것이 아니라, 읽는 사람이 이해하기 쉬울 때 효과적이라는 점을 보여 준다.","complete와 대조되는 말이 아니라, intended reader가 실제로 받아들일 수 있는 성질을 찾으세요."
7,빈칸추론형,공공안전과 개인 자유: 감시 장치의 효과와 사생활·이동 자유의 긴장을 파악하는 빈칸.,"A city installed cameras at every intersection to reduce accidents. The number of violations decreased, but residents began to worry that ordinary movement was being constantly recorded. The case illustrates the tension between public safety and ______.",seasonal tourism,food supply,individual liberty,athletic training,3,감시와 이동 기록에 대한 우려는 개인의 자유와 관련된다.,"한 도시는 사고를 줄이기 위해 모든 교차로에 카메라를 설치했다. 위반 건수는 줄었지만, 주민들은 일상적인 이동이 계속 기록되고 있다는 점을 걱정하기 시작했다. 이 사례는 공공안전과 개인의 자유 사이의 긴장을 보여 준다.","카메라 설치의 목적은 안전이지만, 주민들의 걱정은 계속 기록되는 일상적 이동과 관련됩니다."
8,빈칸추론형,연구 태도의 성격: 한 연구의 한계를 인정하는 태도가 단정적인 결론과 대조됨을 묻는 빈칸.,"The researcher did not claim that one study proved everything. Instead, she described her findings as a starting point that should be tested again in different populations. Her attitude was cautious rather than ______.",tentative,limited,preliminary,conclusive,4,one study proved everything이 아니라 조심스럽다는 대조이므로 conclusive가 적절하다.,그 연구자는 하나의 연구가 모든 것을 증명한다고 주장하지 않았다. 대신 그녀는 자신의 발견을 서로 다른 집단에서 다시 검증되어야 할 출발점으로 설명했다. 그녀의 태도는 단정적이라기보다 신중했다.,"starting point, tested again, cautious가 모두 ‘아직 최종 결론이 아니다’라는 태도를 보여 줍니다."
9,빈칸추론형,절차적 공정성: 결과 만족이 아니라 중립적 판단자 앞에서 주장할 기회를 보장하는 절차를 묻는 빈칸.,"A fair procedure does not guarantee that every person will like the outcome. It means that each side has a meaningful opportunity to present arguments before a neutral decision maker. Thus, fairness is mainly connected with the ______ of decision-making.",process,decoration,weather,ownership,1,공정성은 결과 선호가 아니라 절차와 관련된다는 내용이다.,공정한 절차가 모든 사람이 결과를 좋아하리라는 것을 보장하는 것은 아니다. 그것은 각 당사자가 중립적인 결정권자 앞에서 자신의 주장을 의미 있게 제시할 기회를 갖는다는 뜻이다. 따라서 공정성은 주로 의사결정의 절차와 관련된다.,fair procedure의 핵심은 결과가 마음에 드는지가 아니라 판단이 이루어지는 방식입니다.
10,빈칸추론형,법률 해석의 시간성: 법 제정 시점과 사회 변화에 따른 해석의 차이를 묻는 빈칸.,"A statute may remain formally valid for years, but if society changes greatly, courts may need to interpret its words in a way that fits new conditions. Legal meaning is therefore not always frozen at the moment of ______.",punishment,enactment,migration,nutrition,2,statute가 만들어진 시점을 말하므로 enactment가 적절하다.,"법률은 수년 동안 형식적으로 유효하게 남아 있을 수 있다. 그러나 사회가 크게 변하면, 법원은 그 문구를 새로운 조건에 맞게 해석해야 할 수도 있다. 따라서 법적 의미가 항상 제정 당시의 순간에 고정되어 있는 것은 아니다.",statute가 만들어진 시점과 사회 변화 이후의 해석을 대비해 보세요.
